match_id,start_x,start_y,end_x,end_y,height,angle,duration,outcome
8658,44.0,31.0,53.0,49.0,High Pass,1.1071488,2.24,
8658,52.0,49.0,40.0,43.0,High Pass,-2.6779451,1.4,Incomplete
8658,81.0,27.0,85.0,3.0,Ground Pass,-1.4056476,1.48,
8658,85.0,3.0,110.0,16.0,Ground Pass,0.47951928,2.12,Incomplete
8658,5.0,78.0,5.0,78.0,High Pass,0.0,0.2,Incomplete
8658,30.0,79.0,53.0,75.0,High Pass,-0.17219082,1.4,Incomplete
8658,68.0,6.0,81.0,26.0,High Pass,0.9944211,1.8,
8658,81.0,26.0,80.0,55.0,High Pass,1.6052654,3.053,Incomplete
8658,41.0,26.0,53.0,3.0,High Pass,-1.0899091,1.987,Incomplete
8658,68.0,78.0,94.0,54.0,High Pass,-0.7454195,5.12,Incomplete
8658,27.0,27.0,31.0,30.0,High Pass,0.6435011,1.973,
8658,31.0,31.0,36.0,74.0,Ground Pass,1.4550371,3.493,
8658,35.0,71.0,78.0,64.0,High Pass,-0.1613751,2.667,Incomplete
8658,43.0,17.0,66.0,24.0,High Pass,0.29544082,1.76,
8658,66.0,24.0,73.0,25.0,High Pass,0.14189705,1.96,Incomplete
8658,48.0,56.0,52.0,80.0,High Pass,1.4056476,2.693,Out
8658,32.0,51.0,32.0,16.0,Ground Pass,-1.5707964,2.68,
8658,32.0,5.0,35.0,4.0,High Pass,-0.32175055,0.36,Incomplete
8658,40.0,1.0,64.0,4.0,High Pass,0.124354996,1.8,
8658,59.0,73.0,66.0,67.0,Ground Pass,-0.7086263,0.72,
8658,66.0,68.0,53.0,66.0,Ground Pass,-2.9889433,0.853,
8658,56.0,56.0,52.0,72.0,Ground Pass,1.815775,1.413,
8658,52.0,72.0,74.0,79.0,Ground Pass,0.30805278,1.44,Out
8658,53.0,1.0,67.0,12.0,High Pass,0.66596925,1.28,
8658,67.0,12.0,79.0,6.0,Low Pass,-0.4636476,0.56,Incomplete
8658,42.0,75.0,58.0,57.0,High Pass,-0.844154,1.44,Incomplete
8658,63.0,26.0,48.0,72.0,Ground Pass,1.886011,4.12,
8658,54.0,75.0,67.0,79.0,Ground Pass,0.29849893,1.08,
8658,67.0,79.0,70.0,71.0,Low Pass,-1.2120256,1.12,
8658,70.0,71.0,104.0,76.0,Ground Pass,0.14601226,4.533,Incomplete
8658,17.0,8.0,11.0,16.0,Ground Pass,2.2142975,1.56,
8658,10.0,16.0,54.0,26.0,High Pass,0.2234766,2.32,
8658,54.0,28.0,67.0,44.0,High Pass,0.88847977,2.573,
8658,84.0,40.0,112.0,62.0,High Pass,0.66596925,2.306,
8658,112.0,63.0,113.0,52.0,High Pass,-1.4801364,1.88,
8658,113.0,52.0,108.0,45.0,High Pass,-2.1910458,1.373,
8658,109.0,45.0,109.0,40.0,High Pass,-1.5707964,1.066,
8658,108.0,40.0,102.0,39.0,Low Pass,-2.976444,0.933,
8658,98.0,79.0,101.0,72.0,Low Pass,-1.1659045,0.84,Incomplete
8658,110.0,80.0,111.0,62.0,High Pass,-1.5152978,1.56,
8658,69.0,44.0,16.0,41.0,Ground Pass,-3.0850492,3.92,
8658,18.0,43.0,70.0,74.0,High Pass,0.5375866,2.52,
8658,70.0,74.0,91.0,56.0,High Pass,-0.7086263,2.68,Pass Offside
8658,69.0,75.0,60.0,73.0,Ground Pass,-2.9229238,1.053,
8658,66.0,69.0,58.0,64.0,Ground Pass,-2.5829933,0.933,
8658,57.0,60.0,64.0,77.0,Ground Pass,1.1801893,0.88,
8658,64.0,72.0,83.0,63.0,Low Pass,-0.44237423,1.173,
8658,82.0,65.0,104.0,80.0,Low Pass,0.5984189,3.56,Out
8658,23.0,2.0,36.0,8.0,High Pass,0.43240777,1.48,
8658,37.0,8.0,46.0,20.0,Low Pass,0.9272952,1.48,
